ALL RESULTS  ARE PRINTED IN THE CODE WITH CORRECT DECIMAL PLACES INCLUDING Approximate error
----------------------------------------------------------------------------------
X              Y approx                   Y Exact             True Error			
-----------------------------------------------------------------------------------			
0	200	                199.994             0.003000090003 %	
0.2	218	                217.8389207     0.07394423274 %	
0.4	235	                235.1118777      0.04758487994 %	
0.6	251	                251.4402129      0.1750765793 %	
----------------------------------------------------------------------------------			
0.8	243.6170678	266.4857834	8.5815894%
1	235.9390565	279.9584735	15.7235523%
1.2	227.2951543	291.6277916	22.0598445%
1.4	217.7079397	301.3320901	27.7514919%
1.6	207.1626536	308.9850397	32.9538240%
1.8	195.7248282	314.5791016	37.7819991%
2	183.528806	318.1858575	42.3202504%
2.2	170.769794	319.9531853	46.6266311%
2.4	157.6931342	320.0993931	50.7361971%
2.6	144.5818906	318.9045446	54.6629570%
2.8	131.7431796	316.6993225	58.4011805%
3	119.4937683	313.8518736	61.9266991%
3.2	108.1454942	310.7531599	65.1989076%
3.4	97.99106608	307.8013998	68.1641909%
3.6	89.2907964	305.3862201	70.7613538%
3.8	82.26077722	303.8731499	72.9292380%
4	77.06295646	303.589075	74.6160311%
4.2	73.79749744	304.8092326	75.7889560%
4.4	72.4977142	307.746265	76.4423740%
4.6	73.12777386	312.5417683	76.6022397%
4.8	75.58324792	319.2606733	76.3255376%
5	79.69448176	327.8886823	75.6946531%
5.2	85.23263995	338.3328647	74.8080518%
5.4	91.91817935	350.4253872	73.7695433%
5.6	99.43140559	363.9302289	72.6784428%
5.8	107.4246862	378.552616	71.6222576%
6	115.535828	393.9507975	70.6725234%
6.2	123.4020815	409.7496942	69.8835452%
6.4	130.6742075	425.5558753	69.2932902%
6.6	137.0300446	440.9732672	68.9255438%
6.8	142.187029	455.6189673	68.7925571%
7	145.9131682	469.1385318	68.8976372%
7.2	148.0360251	481.2201296	69.2373581%
7.4	148.4493537	491.6069965	69.8032463%
7.6	147.1171184	500.1076944	70.5829124%
7.8	144.0747348	506.6037651	71.5606664%
8	139.4274807	511.0544753	72.7176872%
8.2	133.3461391	513.4984622	74.0318328%
8.4	126.0600439	514.0522147	75.4771908%
8.6	117.8478067	512.9054509	77.0234833%
8.8	109.02609	                 510.3135757	78.6354714%
9	99.93687576	506.5875195	80.2725350%
9.2	90.93373467	502.0813634	81.8886457%
9.4	82.36764201	497.1782435	83.4329754%
9.6	74.57290609	492.2750967	84.8513755%
9.8	67.85376831	487.7668566	86.0888932%
10	62.4722089	484.0307282	87.0933382%
10.2	58.63744361	481.41117	                 87.8196753%
10.4	56.49752965	480.2061812	88.2347350%
10.6	56.13341475	480.6554404	88.3214856%
10.8	57.55566647	482.9307695	88.0820047%
11	60.70401128	487.1293034	87.5384193%
11.2	65.4497018	493.2696353	86.7314554%
11.4	71.60061714	501.2910948	85.7167586%
11.6	78.90889292	511.0561849	84.5596443%
11.8	87.08077631	522.3560814	83.3292309%
12	95.78831308	534.9189767	82.0929305%
12.2	104.6824004	548.4209333	80.9120342%
12.4	113.4066849	562.4988162	79.8387691%
12.6	121.6117515	576.7647871	78.9148446%
12.8	128.9690375	590.8217842	78.1712454%
13	135.1839168	604.2793682	77.6289041%
13.2	140.0074324	616.7693056	77.2998703%
13.4	143.2462099	627.9602653	77.1886506%
13.6	144.7701558	637.5710447	77.2934864%
13.8	144.517634	645.3817969	77.6074202%
14	142.4979147	651.2428112	78.1190806%
14.2	138.7907964	655.0804984	78.8131693%
14.4	133.5434174	656.90034	                 79.6706731%
14.6	126.9643836	656.7866858	80.6688555%
14.8	119.3154459	654.8994068	81.7811034%
15	110.9010599	651.4675372	82.9767328%
15.2	102.0562431	646.7801589	84.2208760%
15.4	93.13321439	641.1748917	85.4746005%
15.6	84.48734872	635.0244491	86.6954180%
15.8	76.4630053	628.7217937	87.8383403%
16	69.37979612	622.6644861	88.8575954%
16.2	63.51984099	617.2388502	89.7090339%
16.4	59.11651774	612.8045857	90.3531209%
16.6	56.3451557	609.6804429	90.7582478%
16.8	55.31604375	608.1315289	90.9039342%
17	56.07003145	608.3587529	90.7833937%
17.2	58.57689874	610.4908302	90.4049503%
17.4	62.7365591	614.5791652	89.7919483%
17.6	68.38304822	620.5958147	88.9810652%
17.8	75.29113916	628.4346165	88.0192566%
18	83.18532024	637.9154341	86.9598201%
18.2	91.75077777	648.7913521	85.8581996%
18.4	100.6459456	660.7585329	84.7681202%
18.6	109.5161217	673.4683425	83.7384900%
18.8	118.0076076	686.5412626	82.8112870%
19	125.7818092	699.5820332	82.0204346%
19.2	132.5287344	712.1954232	81.3915212%
19.4	137.9793511	724.0019993	80.9421312%
19.6	141.9163118	734.6532655	80.6825453%
19.8	144.1826186	743.8455681	80.6165924%
20	144.6878811	751.3322142	80.7424894%
20.2	143.4119203	756.9333183	81.0535596%
20.4	140.4055722	760.5429854	81.5387723%
20.6	135.788661	762.1335447	82.1830883%
20.8	129.7452219	761.7566642	82.9676289%
21	122.5161635	759.5413028	83.8697168%
21.2	114.3896638	755.6885798	84.8628566%
21.4	105.689681	750.4637687	85.9167510%
21.6	96.76303817	744.1857326	86.9974613%
21.8	87.96559623	737.2142232	88.0678379%
22	79.64806682	729.9355497	89.0883426%
22.2	72.14203038	722.7471884	90.0183589%
22.4	65.74671695	716.0419477	90.8180356%
22.6	60.71707667	710.1923182	91.4506148%
22.8	57.25361564	705.5356338	91.8850852%
23	55.49440226	702.3606333	92.0988735%
23.2	55.50956282	700.8959594	92.0801993%
23.4	57.29848564	701.3010541	91.8296878%
